,tweets
66,"['DailyRyan_', 'in', datetime.datetime(2019, 11, 11, 1, 36, 30), 36, 'RT @mrtjakarta: Halo teman MRT, ada pengumuman nih! Hari Senin, 11 November 2019 bakal ada @jkt48.\n_\nPengen nonton kan? Makanya, langsung a…', 'Jakartans']"
67,"['BeloSuki', 'in', datetime.datetime(2019, 11, 11, 1, 36, 2), 0, '@mrtjakarta @JKT48 Jkt58 juga kah?', 'Anywhere On Earth']"
68,"['luthfiew', 'in', datetime.datetime(2019, 11, 11, 1, 28, 7), 2, 'RT @meilia_w: @mrtjakarta @JKT48 @RailinkARS Sebenarnya terowongan kendal itu jalur melintas orang atau panggung gembira, sih. Ada2 saja ac…', '']"
69,"['inggridandriani', 'in', datetime.datetime(2019, 11, 11, 1, 21, 54), 36, 'RT @mrtjakarta: Halo teman MRT, ada pengumuman nih! Hari Senin, 11 November 2019 bakal ada @jkt48.\n_\nPengen nonton kan? Makanya, langsung a…', 'Indonesia']"
70,"['mantoismanto1', 'in', datetime.datetime(2019, 11, 11, 1, 20, 22), 36, 'RT @mrtjakarta: Halo teman MRT, ada pengumuman nih! Hari Senin, 11 November 2019 bakal ada @jkt48.\n_\nPengen nonton kan? Makanya, langsung a…', 'Jakarta-Depok']"
71,"['ResiCaroko', 'in', datetime.datetime(2019, 11, 11, 1, 13, 43), 36, 'RT @mrtjakarta: Halo teman MRT, ada pengumuman nih! Hari Senin, 11 November 2019 bakal ada @jkt48.\n_\nPengen nonton kan? Makanya, langsung a…', 'Jakarta']"
72,"['matalihat', 'in', datetime.datetime(2019, 11, 11, 1, 5, 39), 0, ""Masih gak nyangka pengguna @mrtjakarta bisa disiplin gini :') https://t.co/JZljuUpKst"", 'JKT']"
73,"['deddyhariadi', 'in', datetime.datetime(2019, 11, 11, 0, 58, 33), 36, 'RT @mrtjakarta: Halo teman MRT, ada pengumuman nih! Hari Senin, 11 November 2019 bakal ada @jkt48.\n_\nPengen nonton kan? Makanya, langsung a…', 'Jakarta Indonesia']"
74,"['RyanBakkaru', 'in', datetime.datetime(2019, 11, 11, 0, 52, 1), 36, 'RT @mrtjakarta: Halo teman MRT, ada pengumuman nih! Hari Senin, 11 November 2019 bakal ada @jkt48.\n_\nPengen nonton kan? Makanya, langsung a…', 'Bekas Ibukota Jakarta']"
75,"['DedeSM20', 'in', datetime.datetime(2019, 11, 11, 0, 51, 25), 36, 'RT @mrtjakarta: Halo teman MRT, ada pengumuman nih! Hari Senin, 11 November 2019 bakal ada @jkt48.\n_\nPengen nonton kan? Makanya, langsung a…', '']"
76,"['pohonberinginPS', 'in', datetime.datetime(2019, 11, 11, 0, 48, 23), 1, 'RT @nikokristianto: Pak @aniesbaswedan kapan halte @PT_TransJakarta CSW terkoneksi dengan stasiun @mrtjakarta ASEAN?', '']"
77,"['frikarashi', 'in', datetime.datetime(2019, 11, 11, 0, 47, 7), 0, '@mrtjakarta @JKT48 Wahh JKT48 ♥️🌷😍😍😍', ""3°30'- 3°43'LU 98°35'-98°44'BT""]"
78,"['frikarashi', 'in', datetime.datetime(2019, 11, 11, 0, 46, 16), 36, 'RT @mrtjakarta: Halo teman MRT, ada pengumuman nih! Hari Senin, 11 November 2019 bakal ada @jkt48.\n_\nPengen nonton kan? Makanya, langsung a…', ""3°30'- 3°43'LU 98°35'-98°44'BT""]"
79,"['RempeyekUdang', 'in', datetime.datetime(2019, 11, 11, 0, 42, 10), 36, 'RT @mrtjakarta: Halo teman MRT, ada pengumuman nih! Hari Senin, 11 November 2019 bakal ada @jkt48.\n_\nPengen nonton kan? Makanya, langsung a…', '+62291, +6221']"
80,"['meilia_w', 'in', datetime.datetime(2019, 11, 11, 0, 41, 53), 2, '@mrtjakarta @JKT48 @RailinkARS Sebenarnya terowongan kendal itu jalur melintas orang atau panggung gembira, sih. Ada2 saja acara. Pameran, promosi produk, skrg JKT48. Ini disewakan atau gimana? Ada pendapatan negara/daerah nonpajak-nya, ngga, sih?', '']"
81,"['RempeyekUdang', 'in', datetime.datetime(2019, 11, 11, 0, 41, 47), 0, '@mrtjakarta @JKT48 Ini akun Twitter nya @officialJKT48', '+62291, +6221']"
82,"['Jihanifah_', 'in', datetime.datetime(2019, 11, 11, 0, 40, 16), 36, 'RT @mrtjakarta: Halo teman MRT, ada pengumuman nih! Hari Senin, 11 November 2019 bakal ada @jkt48.\n_\nPengen nonton kan? Makanya, langsung a…', 'Pamulang, Indonesia']"
83,"['meilia_w', 'in', datetime.datetime(2019, 11, 11, 0, 39, 23), 0, '@mrtjakarta @JKT48 Tidaak! 😭 kayak gini bg pengguna transportasi sehari2 malah merepotkan. Terowongan Kendal krusial utk peralihan transportasi (dr  TJ ke BNI city @RailinkARS (aku); CL ke railink/MRT ke CL). Kl ada keramaian begini, mlh terhambat. Bs telat, pdhl railink itu on time tiap 30 menit', '']"
84,"['penkiolika15_', 'in', datetime.datetime(2019, 11, 11, 0, 38, 14), 36, 'RT @mrtjakarta: Halo teman MRT, ada pengumuman nih! Hari Senin, 11 November 2019 bakal ada @jkt48.\n_\nPengen nonton kan? Makanya, langsung a…', '']"
85,"['RayhanClearesta', 'in', datetime.datetime(2019, 11, 11, 0, 35, 38), 36, 'RT @mrtjakarta: Halo teman MRT, ada pengumuman nih! Hari Senin, 11 November 2019 bakal ada @jkt48.\n_\nPengen nonton kan? Makanya, langsung a…', 'Jakarta Selatan, DKI Jakarta']"
86,"['CenHandoko', 'in', datetime.datetime(2019, 11, 11, 0, 32, 58), 36, 'RT @mrtjakarta: Halo teman MRT, ada pengumuman nih! Hari Senin, 11 November 2019 bakal ada @jkt48.\n_\nPengen nonton kan? Makanya, langsung a…', '']"
87,"['bajilchaniago', 'in', datetime.datetime(2019, 11, 11, 0, 27, 38), 0, '@mrtjakarta min ke plaza asia turunnya dmn?', 'Harapan Baru, Bekasi']"
